"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"7795-8","","","","","","","","","","Pappenheimer-Körper ql. mikr.","Pappenheimer-Körper ql. mikr."
"7796-6","","","","","","","","","","Thromboz.aggr.ql.mi.","Thrombozytenaggregate qual. mikr."
"7797-4","","","","","","","","","","Geldrollenb. ql. mi.","Geldrollenbildung qual. mikr."
"7798-2","","","","","","","","","","Kernschatten ql.mi.","Kernschatten qual. mikr."
"779-9","","","","","","","","","","Poikilozytose ql.mi.","Poikilozytose qual. mikr."
"7801-4","","","","","","","","","","Phospholipid-AK IgG","Phospholipid-Antikörper IgG"
"7802-2","","","","","","","","","","Phospholipid-AK IgM","Phospholipid-Antikörper IgM"
"7810-5","","","","","","","","","","Astrovirus-Antigen /Stuhl (Elisa)","Astrovirus-Antigen /Stuhl (Elisa)"
"781-5","","","","","","","","","","Promyelozyt. abs.mi.","Promyelozyten abs. mikr."
"7817-0","","","","","","","","","","Borrelien AK IgG qn.","Borrelien-Antikörper IgG qn."
"7818-8","","","","","","","","","","Borrelien AK IgM qn.","Borrelien-Antikörper IgM qn."
"783-1","","","","","","","","","","Promyelozyt. rel.mi.","Promyelozyten rel. mikr."
"7852-7","","","","","","","","","","CMV-AK IgG qn.","CMV-Antikörper IgG quant."
"7853-5","","","","","","","","","","CMV-AK IgM qn.","CMV-Antikörper IgM quant."
"7855-0","","","","","","","","","","Dengue Virus (1+2+3+4) RNA ql. PCR","Dengue Virus (1+2+3+4) RNA qualitativ PCR"
"78685-5","","","","","","","","","","Thrombozytenaggregation Kollagen-ind. /Blut","Thrombozytenaggregation Kollagen-induziert /Blut"
"78686-3","","","","","","","","","","Thr.aggr.Ristoc. /B","Thrombozytenaggregation Ristocetin-ind. /Blut"
"78687-1","","","","","","","","","","Thr.aggr.TRAP /B","Thrombozytenaggregation TRAP-ind. /Blut"
"7883-2","","","","","","","","","","EBV-NA-AK IgG ql.","EBV-NA-Antikörper IgG qualitativ"
"7885-7","","","","","","","","","","EBV-AK IgG qn.","EBV-Antikörper IgG quant."
"7886-5","","","","","","","","","","EBV-AK IgM qn.","EBV-Antikörper IgM quant."
"7892-3","","","","","","","","","","Giardia lamblia AK IgM","Giardia lamblia Antikörper IgM"
"78984-2","","","","","","","","","","Prolaktin-Ausbeute","Prolaktin-Ausbeute"
"78987-5","","","","","","","","","","Copeptin","Copeptin"
"7900-4","","","","","","","","","","Helicobacter pylori AK","Helicobacter pylori Antikörper"
"7902-0","","","","","","","","","","Helicobacter pylori-AK IgG","Helicobacter pylori-Antikörper IgG"
"7905-3","","","","","","","","","","HBV s-AG Bestät.Nt.","HBV s-Antigen Bestätigungstest Neutralisation"
"790-6","","","","","","","","","","Erythrozyten manuelle Zählung","Erythrozyten manuelle Zählung"
"7906-1","","","","","","","","","","HDV RNA PCR","HDV-RNA PCR"
"7909-5","","","","","","","","","","HSV-AK IgG 1 qn.","HSV-Antikörper IgG 1 quantitativ"
"7912-9","","","","","","","","","","HSV-AK IgG 2 qn.","HSV-Antikörper IgG 2 quantitativ"
"791-4","","","","","","","","","","Erythrozyten /Liquor","Erythrozyten /Liquor"
"79167-3","","","","","","","","","","IgE i214 Bienengiftkomponente Hyaluronidase","Biene rApi m2 IgE"
"7918-6","","","","","","","","","","HIV-AK1+2","HIV-Antikörper 1+2"
"79210-1","","","","","","","","","","FLT3 Genmutation","FLT3 Genmutation"
"792-2","","","","","","","","","","Erythrozyten abs. mikr. /L","Erythrozyten abs. mikr. /Liquor"
"79346-3","","","","","","","","","","Aminoadipinsäuresemialdehyd/Kreatinin-Ratio /U","Aminoadipinsäuresemialdehyd/Kreatinin-Ratio /Urin"
"79406-5","","","","","","","","","","IgM-Index /L","IgM-Index /Liquor"
"794-8","","","","","","","","","","Erythrozyten /PP","Erythrozyten /Pleurapunktat"
"7962-4","","","","","","","","","","Masernv. AK IgG qn.","Masernvirus-Antikörper IgG quant."
"796-3","","","","","","","","","","Erythrozyten /PG","Erythrozyten /Gelenkspunktat"
"7963-2","","","","","","","","","","Masernv. AK IgM qn.","Masernvirus-Antikörper IgM quant."
"75884-7","","","","","","","","","","Lupus Antikoagulans Ratio","Lupus Antikoagulans Ratio"
"759-1","","","","","","","","","","Neutrophile Granulozyten abs. /ASZ","Neutrophile Granulozyten abs. /Aszites"
"7591-1","","","","","","","","","","IgE f279 Chilipfeffer","IgE f279 Chilipfeffer"
"7600-0","","","","","","","","","","IgE k203 Phospholipase","IgE k203 Phospholipase"
"7601-8","","","","","","","","","","IgE k79 Phtalsäure Anhydrid","IgE k79 Phtalsäure Anhydrid"
"76023-1","","","","","","","","","","N-Acetyl-Aspartat/Kreatinin-Ratio /U","N-Acetyl-Aspartat/Kreatinin-Ratio /Urin"
"7603-4","","","","","","","","","","ge7 Taubenkot IgG","ge7 Taubenkot IgG"
"7604-2","","","","","","","","","","IgE w14 Amaranth","IgE w14 Amaranth"
"76071-0","","","","","","","","","","Aspergillus spp. DNA PCR /BAL","Aspergillus spp. DNA PCR /BAL"
"76083-5","","","","","","","","","","Ziehl-Neelsen Färbung /BAL","Ziehl-Neelsen Färbung /BAL"
"7609-1","","","","","","","","","","IgE t213 Pinie","IgE t213 Pinie"
"7613-3","","","","","","","","","","IgE f203 Pistazie","Pistazie IgE"
"7623-2","","","","","","","","","","IgE f224 Mohnsamen","IgE f224 Mohnsamen"
"7627-3","","","","","","","","","","IgE f54 Süßkartoffel","IgE f54 Süßkartoffel"
"7632-3","","","","","","","","","","IgE t210 Liguster","IgE t210 Liguster"
"763-3","","","","","","","","","","Stabkernige abs. mi.","Stabkernige abs. mikr."
"764-1","","","","","","","","","","Stabkernige rel. mi.","Stabkernige rel. mikr."
"7557-2","","","","","","","","","","IgE f233 Eikomponente, Ovomucoid (nGal d1)","Hühnerei nGal d 1 IgE Qn"
"7558-0","","","","","","","","","","IgE f290 Auster","Auster IgE"
"755-9","","","","","","","","","","Neutrophile Granulozyten abs. mikr. /Liquor","Neutrophile Granulozyten abs. mikr. /Liquor"
"7563-0","","","","","","","","","","IgE f218 Paprika","IgE f218 Paprika"
"75632-0","","","","","","","","","","Resistin","Resistin"
"75639-5","","","","","","","","","","LDH SM/Ser.-Ratio","LDH Sondermaterial/Serum-Ratio"
"7564-8","","","","","","","","","","IgE e197 Sittichkot","IgE e197 Sittichkot"
"7565-5","","","","","","","","","","IgE e196 Sittichfedern","IgE e196 Sittichfedern"
"7566-3","","","","","","","","","","IgE e198 Sittichserumprotein","IgE e198 Sittichserumprotein"
"7573-9","","","","","","","","","","IgE f309 Kichererbse","IgE f309 Kichererbse"
"757-5","","","","","","","","","","Neutrophile Granulozyten abs. /PP","Neutrophile Granulozyten abs. /Pleurapunktat"
"75755-9","","","","","","","","","","MSSA DNA ql. /SM PCR","MSSA DNA qualitativ /SM PCR"
"7583-8","","","","","","","","","","IgG m217 Penicillium spp.","IgG m217 Penicillium spp."
"7584-6","","","","","","","","","","gm1 Penicillium chrysogenum IgG","gm1 Penicillium chrysogenum IgG"
"75366-5","","","","","","","","","","Laktat Fetale Mikroblutuntersuchung","Laktat Fetale Mikroblutuntersuchung"
"75373-1","","","","","","","","","","Fetale Erythrozyten (Kleihauer-Bethke Methode) /B","Fetale Erythrozyten (Kleihauer-Bethke Methode) /B"
"75374-9","","","","","","","","","","Zellen sonstige rel. mikr. /L","Zellen sonstige rel. mikr. /Liquor"
"75377-2","","","","","","","","","","Dengue-Virus NS1 AG ql.","Dengue-Virus NS1 Antigen qualitativ"
"75506-6","","","","","","","","","","LA-Bestät. aPTT","Lupus-Anticoagulans Bestätigungstest aPTT"
"75510-8","","","","","","","","","","aPTT Lupus-sensitiv 1+1 Normalplasma, 0 Min","aPTT Lupus-sensitiv 1+1 Normalplasma, 0 Min"
"75513-2","","","","","","","","","","Plasmatauschversuch dRVVT 50:50","Plasmatauschversuch dRVVT 50:50"
"75518-1","","","","","","","","","","Meningitis Latextest /L","Meningitis Latextest /Liquor"
"7552-3","","","","","","","","","","IgE f283 Oregano","IgE f283 Oregano"
"7556-4","","","","","","","","","","IgE f232 Eikomponente, Ovalbumin (nGal d2)","Hühnerei nGal d 2 IgE Qn"
"74365-8","","","","","","","","","","Palmitoyl-Protein-Thioesterase /Fibroblasten","Palmitoyl-Protein-Thioesterase /Fibroblasten"
"744-3","","","","","","","","","","Monozyten rel. mi.","Monozyten rel. mikr."
"74432-6","","","","","","","","","","Cholestanol","Cholestanol"
"7445-0","","","","","","","","","","IgE f76 Milchkomponente","Alphalactalbumin IgE"
"74574-5","","","","","","","","","","Markroskopische Beurteilung /SM","Markroskopische Beurteilung /Sondermaterial"
"74577-8","","","","","","","","","","Pyruvat-Dehydrogenase-Complex /Fibroblasten","Pyruvat-Dehydrogenase-Complex /Fibroblasten"
"74578-6","","","","","","","","","","Pyruvat Dehydrogenase Complex /Gewebe","Pyruvat Dehydrogenase Complex /Gewebe"
"7458-3","","","","","","","","","","IgE f235 Linse","IgE f235 Linse"
"74585-1","","","","","","","","","","Coenzym Q Cyc Reductase/Citrat Synthase /Gewebe","Coenzym Q Cyc Reductase/Citrat Synthase /Gewebe"
"74586-9","","","","","","","","","","Coenzym Q Cytochrom C Reductase /Gewebe","Coenzym Q Cytochrom C Reductase /Gewebe"
"74589-3","","","","","","","","","","Succinate Dehydrogenase/Citrate Synthase /Gewebe","Succinate Dehydrogenase/Citrate Synthase /Gewebe"
"74590-1","","","","","","","","","","NADH Cytochrom C Reductase/Citrat Synthase /Gewebe","NADH Cytochrom C Reductase/Citrat Synthase /Gewebe"
"7464-1","","","","","","","","","","IgE f306 Limone","Limone IgE"
"73882-3","","","","","","","","","","Glykolsäure /24hU","Glykolsäure /24h Urin"
"73883-1","","","","","","","","","","Glykolssäure Urinexkretion","Glykolssäure Urinexkretion"
"73908-6","","","","","","","","","","Alloisoleucin/Kreatinin-Ratio /U","Alloisoleucin/Kreatinin-Ratio /Urin"
"739-3","","","","","","","","","","Metamyeloz. abs. mi.","Metamyelozyten abs. mikr."
"740-1","","","","","","","","","","Metamyeloz. rel. mi.","Metamyelozyten rel. mikr."
"74098-5","","","","","","","","","","Endothelin (1-21)","Endothelin (1-21)"
"74099-3","","","","","","","","","","NGAL /U","Neutrophilengelatinase-assoziiertes Lipocalin /U"
"74101-7","","","","","","","","","","Gewebeinhibitor von Metalloproteinase 1","Gewebeinhibitor von Metalloproteinase 1"
"74104-1","","","","","","","","","","Amanitin /U","Amanitin /Urin"
"74116-5","","","","","","","","","","Adalimumab Antikörper","Adalimumab Antikörper"
"74117-3","","","","","","","","","","Adalimumab","Adalimumab"
"7412-0","","","","","","","","","","IgE f247 Honig","Honig IgE"
"74139-7","","","","","","","","","","Mononuk.Zell.abs./PD","Mononukleäre Zellen abs. /Peritonealdialysat"
"74140-5","","","","","","","","","","Granulozyten abs./PD","Granulozyten abs. /Peritonealdialysat"
"74141-3","","","","","","","","","","Granulozyten rel./PD","Granulozyten rel. /Peritonealdialysat"
"74142-1","","","","","","","","","","Granulozyten abs./SM","Granulozyten abs. /Sondermaterial"
"74143-9","","","","","","","","","","Granulozyten rel./SM","Granulozyten rel. /Sondermaterial"
"7416-1","","","","","","","","","","IgE t209 Hainbuche","IgE t209 Hainbuche"
"741-9","","","","","","","","","","Mikrozyten ql. mi.","Mikrozyten qual. mikr."
"74214-8","","","","","","","","","","Apixaban-Spiegel (aFXa)","Apixaban(Eliquis)-Spiegel Anti FXa Akt."
"74220-5","","","","","","","","","","Dabigatran-Spiegel (aFIIa)","Dabigatran(Pradaxa)-Spiegel Anti FIIa Akt."
"74222-1","","","","","","","","","","Material /KM","Material /KM"
"74232-0","","","","","","","","","","Zellreichtum /KM","Zellreichtum /Knochenmark"
"7425-2","","","","","","","","","","IgE h2 Hausstaub Hollister-Stier","IgE h2 Hausstaub Hollister-Stier"
"7429-4","","","","","","","","","","IgE k77 Isocyanat HDI","Isocyanat HDI IgE"
"7430-2","","","","","","","","","","IgE k76 Isocyanat MDI","Isocyanat MDI IgE"
"7431-0","","","","","","","","","","IgE k75 Isocyanat TDI","Isocyanat TDI IgE"
"743-5","","","","","","","","","","Monozyten abs. mi.","Monozyten abs. mikr."
"74363-3","","","","","","","","","","Dimethylarginin-N,N","Dimethylarginin-N,N"
"722-9","","","","","","","","","","Hämoglobin /PP","Hämoglobin /Pleurapunktat"
"7230-6","","","","","","","","","","gm2 Cladosporium herbarum IgG","gm2 Cladosporium herbarum IgG"
"72314-8","","","","","","","","","","Th/To AK IgG qualitativ","Th/To AK IgG qualitativ"
"72315-5","","","","","","","","","","PDGFR IgG AK","Platelet-derived Growth Factor Rezeptor IgG AK"
"72316-3","","","","","","","","","","RNA Polymerase III (RP155) IgG AK qualitativ","RNA Polymerase III (RP155) IgG AK qualitativ"
"72317-1","","","","","","","","","","RNA Polymerase III (RP11) IgG AK qualitativ","RNA Polymerase III (RP11) IgG AK qualitativ"
"72318-9","","","","","","","","","","CENP-A-IgG-AK ql.","CENP-A-IgG-Antikörper qual."
"72324-7","","","","","","","","","","F-Shunt Volumen art./gev. temperaturkorrigiert","F-Shunt Volumen art./gev. temperaturkorrigiert"
"72326-2","","","","","","","","","","Shunt-Vol. fkt. art.","Shunt-Volumen funktional arteriell"
"7234-8","","","","","","","","","","IgE f268 Gewürznelke","IgE f268 Gewürznelke"
"72366-8","","","","","","","","","","Influenza A/B-Antigen /Nasensekret IA","Influenza-A/B-Antigen /Nasensekret IA"
"72368-4","","","","","","","","","","CCND1/IGH Translokation (11,14) /KM","CCND1/IGH Translokation (11,14) /Knochenmark"
"723-7","","","","","","","","","","Hämoglobin /ASZ","Hämoglobin /Aszites"
"72379-1","","","","","","","","","","Cannabinoide /SM","Cannabinoide /Sondermaterial"
"72457-5","","","","","","","","","","Desmin-AK IB ql.","Desmin-Antikörper IB qual."
"72458-3","","","","","","","","","","Myosin-AK IB ql.","Myosin-Antikörper IB qual."
"7248-8","","","","","","","","","","IgE g202 Mais","IgE g202 Mais"
"72520-0","","","","","","","","","","FLT3 Genmutation (Asp835+Ile836)","FLT3 Genmutation (Asp835+Ile836)"
"72523-4","","","","","","","","","","Anti-GAD65","Anti-GAD65"
"72524-2","","","","","","","","","","Myelin AK ql.","Myelin Antikörper qualitativ"
"72576-2","","","","","","","","","","fPSA/PSA-Quotient PMF","fPSA/PSA-Quotient (Pure mass fraction)"
"7258-7","","","","","","","","","","IgE f2 Milcheiweiß","Milcheiweiß IgE"
"72623-2","","","","","","","","","","Infliximab-Antikörper","Infliximab-Antikörper"
"7262-9","","","","","","","","","","IgE Rf341 Preiselbeere","IgE Rf341 Preiselbeere"
"708-8","","","","","","","","","","Blasten abs. mi.","Blasten abs. mikr."
"7091-2","","","","","","","","","","IgE f237 Aprikose/Marille","Aprikose/Marille IgE"
"709-6","","","","","","","","","","Blasten rel. mi.","Blasten rel. mikr."
"70965-9","","","","","","","","","","Kt/V sp Daugirdas II","Kt/V sp Daugirdas II"
"7099-5","","","","","","","","","","IgE f261 Spargel","IgE f261 Spargel"
"7103-5","","","","","","","","","","IgG m3 Aspergillus fumigatus","IgG m3 Aspergillus fumigatus"
"7116-7","","","","","","","","","","IgE g201 Gerste","IgE g201 Gerste"
"7118-3","","","","","","","","","","IgE f269 Basilikum","Basilikum IgE"
"712-0","","","","","","","","","","Eosinoph.Gr.abs. mi.","Eosinophile Granulozyten abs. mikr."
"7125-8","","","","","","","","","","IgE f278 Lorbeerblatt","IgE f278 Lorbeerblatt"
"7129-0","","","","","","","","","","IgE f287 Rote Bohne","IgE f287 Rote Bohne"
"71369-3","","","","","","","","","","Dysplastische neutrophile Granulopoese ql. mikr.","Dysplastische neutrophile Granulopoese ql. mikr."
"703-9","","","","","","","","","","Basoph.Tüpfelung mi.","Basophile Tüpfelung mikr."
"705-4","","","","","","","","","","Basophile Gr.abs.mi.","Basophile Granulozyten abs. mikr."
"7060-7","","","","","","","","","","IgE f346 Abalone","IgE f346 Abalone"
"7069-8","","","","","","","","","","IgE f339 Piment","IgE f339 Piment"
"707-0","","","","","","","","","","Basophile Gr.rel.mi.","Basophile Granulozyten rel. mikr."
"7073-0","","","","","","","","","","IgE k87 Alpha-Amylase (nAsp o1)","IgE k87 Alpha-Amylase (nAsp o1)"
"7076-3","","","","","","","","","","gm6 Alternaria alternata IgG","gm6 Alternaria alternata IgG"
"7079-7","","","","","","","","","","IgE f313 Sardelle (Anchovy)","IgE f313 Sardelle (Anchovy)"
"7081-3","","","","","","","","","","IgE f271 Anis","Anis IgE"
"70168-0","","","","","","","","","","Hämatokrit /PG","Hämatokrit /Gelenkspunktat"
"70169-8","","","","","","","","","","Hämatokrit /PP","Hämatokrit /Pleurapunktat"
"702-1","","","","","","","","","","Anisozytose ql. mi.","Anisozytose qual. mikr."
"70242-3","","","","","","","","","","Shigella spp./EIEC ql. /ST PCR","Shigella spp./EIEC qualitativ /ST PCR"
"70258-9","","","","","","","","","","Pankreas-Amylase /ASZ","Pankreas-Amylase /Aszites"
"70265-4","","","","","","","","","","TP PPK/Serum-Ratio","Totalprotein Perikardpunktat/Serum-Ratio"
"70268-8","","","","","","","","","","Cholesterin-Qt. /PP","Cholesterin-Qt. /Pleurapunktat"
"70270-4","","","","","","","","","","Pankreas Amylase /PP","Pankreas Amylase /Pleurapunktat"
"6897-3","","","","","","","","","","N-Desmethylsertralin","N-Desmethylsertralin"
"68973-7","","","","","","","","","","IGA intrathek.Prod.%","IGA intrathekale Produktion relativ"
"68974-5","","","","","","","","","","IGG intrathek.Prod.%","IGG intrathekale Produktion relativ"
"68975-2","","","","","","","","","","IGM intrathek.Prod.%","IGM intrathekale Produktion relativ"
"68976-0","","","","","","","","","","Pseudomonas alkalische Protease AK","Pseudomonas alkalische Protease Antikörper"
"68977-8","","","","","","","","","","Pseudomonas Elastase AK","Pseudomonas Elastase Antikörper"
"68978-6","","","","","","","","","","Pseudomonas Aeruginosa Exotoxin A AK","Pseudomonas Aeruginosa Exotoxin A Antikörper"
"6875-9","","","","","","","","","","CA 15-3","CA 15-3"
"6877-5","","","","","","","","","","Koproporphyrin I /24h U","Koproporphyrin I /24h Urin"
"6878-3","","","","","","","","","","Koproporphyrin III /24h U","Koproporphyrin III /24h Urin"
"688-2","","","","","","","","","","Neisseria gonorrhoeae Kultur /Cervix","Neisseria gonorrhoeae Kultur /Cervix"
"6886-6","","","","","","","","","","IgA1","IgA1"
"68902-6","","","","","","","","","","Erythrozyten /US","Erythrozyten /US"
"6891-6","","","","","","","","","","Testosteron,bioverf.rel.","Testosteron, bioverfügbares rel (BAT)"
"68924-0","","","","","","","","","","CA 72-4 /ASZ","CA 72-4 /Aszites"
"6896-5","","","","","","","","","","Clozapin","Clozapin"
"68972-9","","","","","","","","","","IgE f335 Lupinensamen RAST","Lupinensamen IGE RAST"
"66746-9","","","","","","","","","","Untersuchungsmaterial","Untersuchungsmaterial"
"66748-5","","","","","","","","","","Clot Angle","Clot Angle"
"66753-5","","","","","","","","","","Clot Formation Time HEPTEM","Clot Formation Time HEPTEM"
"66755-0","","","","","","","","","","Maximal Clot Firmness HEPTEM","Maximal Clot Firmness HEPTEM"
"6676-1","","","","","","","","","","Oxyureneier /ST","Oxyureneier /Stuhl"
"66762-6","","","","","","","","","","Beta-HCG /PP","Beta-HCG /Pleurapunktat"
"66763-4","","","","","","","","","","Beta-HCG /ASZ","Beta-HCG /Aszites"
"66764-2","","","","","","","","","","Erythroblasten /BN","Erythroblasten /Blut Nabelschnur"
"66768-3","","","","","","","","","","Leukozyten abs. korr. /BN","Leukozyten abs. korrigiert /Blut Nabelschnur"
"6683-7","","","","","","","","","","Reptilasezeit","Reptilasezeit"
"671-8","","","","","","","","","","Methylenblau-Färbung","Methylenblau-Färbung"
"6718-1","","","","","","","","","","IgE f202 Cashewnuss","IgE f202 Cashewnuß"
"6719-9","","","","","","","","","","IgE f242 Kirsche","Kirsche IgE"
"6724-9","","","","","","","","","","IgE f244 Gurke","IgE f244 Gurke"
"6726-4","","","","","","","","","","IgE g204 Wilder Hafer","IgE g204 Wilder Hafer"
"6727-2","","","","","","","","","","IgG gi1 Bienengift","IgG gi1 Bienengift"
"6740-5","","","","","","","","","","IgE i3 Wespe","Wespe IgE"
"6742-1","","","","","","","","","","Erythrozytenmorphologie","Erythrozytenmorphologie"
"6743-9","","","","","","","","","","Leukozyten abs. mikr. /SM","Leukozyten abs. mikroskopisch /Sondermaterial"
"6744-7","","","","","","","","","","Lymphozyten abs. mikr. /Körperflüssigkeit","Lymphozyten abs. mikr. /Körperflüssigkeit"
"6746-2","","","","","","","","","","Prolymphozyt.rel.mi.","Prolymphozyten rel. mikr."
"64965-7","","","","","","","","","","IgE f427 Erdnusskomponente","IgE f427 Erdnusskomponente (rAra h9)"
"64966-5","","","","","","","","","","IgE f433 Weizenkomponente, LTP (rTri a14)","Weizen Tri14 IgE Qn"
"64967-3","","","","","","","","","","IgE Erle rAln g 1","Erle rAln g 1 IgE Qn"
"64968-1","","","","","","","","","","IgE Haselpoll.Co101","Haselpollen rCor a 1.0101 IgE Qn"
"64969-9","","","","","","","","","","IgE t241 Platanenkomponente (rPla a1)","Ahornblättrige Platane rPla a 1 IgE Qn"
"64970-7","","","","","","","","","","IgE Ahornblättrige Platane Komponente (rPla a 3)","Ahornblättrige Platane Plaa3 IgE Qn"
"64971-5","","","","","","","","","","IgE W.Gänsefuß Cha1","Weißer Gänsefuß Chea1 IgE Qn"
"64972-3","","","","","","","","","","IgE w234 Spitzwegerichkomponente (rPla l1)","Spitzwegerich Plal1 IgE Qn"
"64973-1","","","","","","","","","","IgE e226 Hundekomponente (rCan f 5)","IgE e226 Hundekomponente (rCan f 5)"
"6095-4","","","","","","","","","","IgE d2 Dermatophagoides farinae","Hausstaubmilbe (Dermatophagoides farinae) IgE"
"6096-2","","","","","","","","","","IgE d1 Dermatophag. pteronyssinus","Hausstaubmilbe(Dermatophagoides pteronyssinus) IgE"
"6097-0","","","","","","","","","","IgE w8 Löwenzahn (Taraxacum)","Löwenzahn Pollen IgE"
"6098-8","","","","","","","","","","IgE e5 Hundeschuppen","Hundeschuppen IgE"
"6099-6","","","","","","","","","","IgE e2 Hundeepithelien","Hundeepithelien IgE"
"6100-2","","","","","","","","","","IgE e86 Entenfedern","IgE e86 Entenfedern"
"6103-6","","","","","","","","","","IgE p2 Echinococcus","Echinokokkus IgE"
"6105-1","","","","","","","","","","IgE f264 Aal","IgE f264 Aal"
"6106-9","","","","","","","","","","IgE f1 Hühnereiweiß","Hühnereiweiß IgE"
"50532-1","","","","","","","","","","PTH Abnahme 8","PTH Abnahme 8"
"50533-9","","","","","","","","","","TSH Abnahme 1","TSH Abnahme 1"
"50534-7","","","","","","","","","","TSH Abnahme 2","TSH Abnahme 2"
"50535-4","","","","","","","","","","TSH Abnahme 3","TSH Abnahme 3"
"50536-2","","","","","","","","","","TSH Abnahme 4","TSH Abnahme 4"
"50537-0","","","","","","","","","","TSH Abnahme 5","TSH Abnahme 5"
"99489-7","Entlassungsbrief Ärztlich","Ergebnis","Zeitpunkt","{Setting}","Dokument","Thoraxchirurgie","DOC.ONTOLOGY","","","Bericht Entlassungsbrief aus stationärer Behandlung (Arzt); Ärztlicher Entlassungsbrief",""
"96343-9","Befund","Ergebnis","Zeitpunkt","ambulant","Dokument","Onkologie","DOC.ONTOLOGY","","","Bericht",""
"96348-8","Befund","Ergebnis","Zeitpunkt","ambulant","Dokument","Radiologie","DOC.ONTOLOGY","","","Bericht",""
"46138-4","","","","","","","","","","Harnsäurekristalle mikr. /US","Harnsäurekristalle mikroskopisch /Urinsediment"
"5769-5","","","","","","","","","","Bakterien mikr. /US","Bakterien mikroskopisch /Urinsediment"
"5822-2","","","","","","","","","","Hefepilze mikr. /US","Hefepilze mikroskopisch /Urinsediment"
"51213-7","","","","","","","","","","Acetaminophenkristalle mikr. /US","Acetaminophenkristalle mikroskopisch /Urinsediment"
"5650-7","","","","","","","","","","Fluorid /U","Fluorid /Urin"
"100725-1","Entlassungsbrief Ärztlich","Ergebnis","Zeitpunkt","{Setting}","Dokument","Optometrie","DOC.ONTOLOGY","","","Bericht Entlassungsbrief aus stationärer Behandlung (Arzt); Ärztlicher Entlassungsbrief",""
"23785-9","","","","","","","","","","Trypanosoma cruzi AK ql.","Trypanosoma cruzi Antikörper qualitativ"
"26638-7","","","","","","","","","","Leishmania donovani AK ql.","Leishmania donovani Antikörper qualitativ"
"29966-9","","","","","","","","","","ANA Centromer-IgG-AK Ti. IF","ANA Centromer-IgG-Antikörper Titer IF"
"31383-3","","","","","","","","","","Frühsommer-Meningoenzephalitis Antikörper quantitativ","Frühsommer-Meningoenzephalitis Antikörper quantitativ"
"31698-4","","","","","","","","","","Cholera Antikörper quantitativ","Cholera Antikörper quantitativ"
"91673-4","","","","","","","","","","NK-like T-Zellen[Ly] /KM","NK-like T-Zellen (CD56.16+CD3+) [Lymphozyten] /KM"
"91119-8","","","","","","","","","","Plasmatauschversuch aPTT 50:50","Plasmatauschversuch aPTT 50:50"
"9781-6","","","","","","","","","","Acanthamoeba spp. Kultur /SM","Acanthamoeba spp. Kultur /Sondermaterial"
"57782-5","","","","","","","","","","Blutbild+Man. Diff.","Blutbild + Manuelles Differentialblutbild"
"57777-5","","","","","","","","","","Vaskulitis ass. AK","Vaskulitis assoziierte Antikörper"
"57778-3","","","","","","","","","","Freie Leichtketten","Freie Leichtketten"
"58077-9","","","","","","","","","","Urinstreifen+Uricult","Urinstreifen + Uricult"
"56142-3","","","","","","","","","","MPL-Gen (W515L, W515K)","MPL-Gen (W515L, W515K)"
"563-7","","","","","","","","","","Clostridium difficile ql. Kultur /SM","Clostridium difficile ql. Kultur /SM"
"56748-7","","","","","","","","","","Norovirus RNA ql. /SM PCR","Norovirus RNA qualitativ /Sondermaterial PCR"
"69438-0","","","","","","","","","","Gerichtsmedizinischer Befund","Gerichtsmedizinischer Befund"
"6959-1","","","","","","","","","","Yersinia enterocolitica O3 AK Titer","Yersinia enterocolitica O3 Antikörper Titer"
"68901-8","","","","","","","","","","Erythrozyten ql. /D","Erythrozyten qualitativ /Dialysat"
"38354-7","","","","","","","","","","Bartonella spp. Kultur /SM","Bartonella spp. Kultur /Sondermaterial"
"38377-8","","","","","","","","","","Cryptococcus neoformans ql. Kultur /SM","Cryptococcus neoformans ql. Kultur /SM"
"38235-8","","","","","","","","","","T-Zellen (TCR gamma delta+)","T-Zellen (TCR gamma delta+)"
"49403-9","","","","","","","","","","Human-Herpes-Virus 8-DNA /SM PCR","Human-Herpes-Virus 8-DNA /Sondermaterial PCR"
"49967-3","","","","","","","","","","Kohle /US","Kohle /Urinsediment"
"3972-7","","","","","","","","","","Piperacillin","Piperacillin"
"40003-6","","","","","","","","","","Gluc. 90M n. St.","Glucose 90 min nach Stimulation"
"40436-8","","","","","","","","","","Parainfluenza Virus Kultur /SM","Parainfluenza Virus Kultur /Sondermaterial"
"40834-4","","","","","","","","","","Human-Herpes-Virus 8-AK IgG ql.","Human-Herpes-Virus 8-Antikörper IgG qualitativ"
"41863-2","","","","","","","","","","Hefepilz-Pseudohyphen /US","Hefepilz-Pseudohyphen /Urinsediment"
"13734-9","","","","","","","","","","Adrenalin/Kreatinin-Ratio /U","Adrenalin/Kreatinin-Ratio /Urin"
"14118-4","","","","","","","","","","Laktat","Laktat"
"14325-5","","","","","","","","","","Keim Milieukultur /SM","Keim Milieukultur /Sondermaterial"
"8031-7","","","","","","","","","","Streptococcus pneumoniae AK IgG","Streptococcus pneumoniae Antikörper IgG"
"80636-4","","","","","","","","","","Alpha-Amanitin /U","Alpha-Amanitin /Urin"
